Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kenny Rosenberg",,11.101,0,0,4.86638,33,33,0,0,,198,855.881,204.951,116.933,107.06,31.2891,66.0143,2.60143,9.29115,150.952,6.86147,3.00065,2.28666,1.42223,0.176371,0.0771302,0.09924045205116272,0.262564,1.36851,0.290242,0.678076,,,4.80569,1.26074,0.665613,999,,,,,,,627.9000000000001,3.171212121212122,664,3.3535353535353534,,,,,,,,,,,,,,,,,,,"Kenny Rosenberg","20009",670046
"Manuel Rodriguez","MIL",10.0347,0,0,5.00107,33,33,0,0,,198,788.446,202.214,120.17,110.024,34.9541,33.6725,2.39647,7.66427,117.838,5.3563,1.53057,3.49955,1.58882,0.149457,0.0427074,0.10674919560551643,0.270661,1.19134,0.281431,0.61897,,,4.86613,1.25742,0.384283,999,,,,,,,619.5,3.128787878787879,645,3.257575757575758,,,,,,,,,,,,,,,,,,,"Manuel Rodriguez","sa3019291",804973
"Brendan Beck","NYY",9.80287,0,0,5.13879,33,33,0,0,,198,785.367,196.301,123.479,113.053,29.9039,56.9231,2.38711,8.40525,129.125,5.8693,2.58741,2.26841,1.35927,0.164413,0.0724796,0.09193352609872818,0.272626,1.27891,0.296603,0.613864,,,4.78406,1.25376,0.106674,999,,,,,,,649.6,3.280808080808081,663,3.3484848484848486,,,,,,,,,,,,,,,,,,,"Brendan Beck","sa3020680",694341
"Will Vest","DET",4.75553,0,0,3.23694,70,0,0,0,,70,291.334,59.9955,27.4978,25.1762,5.88229,24.4784,0.885505,3.22882,72.9801,9.38316,3.14723,2.98141,0.756295,0.250503,0.0840217,0.16648123413324356,0.227577,1.20677,0.292876,0.747338,,,3.32987,1.25235,1.53061,516.2100219726562,,,,,,,353.2,5.045714285714285,337,4.814285714285714,,,,,,,,,,,,,,,,,,,"Will Vest","19769",676684
"Cole Wilcox","SEA",10.8172,0,0,5.02118,33,33,0,0,,198,852.343,211.07,120.653,110.466,25.6992,74.065,2.59068,9.52717,132.853,6.03879,3.36659,1.79374,1.16815,0.155868,0.0868957,0.068972647190094,0.274562,1.44007,0.303787,0.660156,,,4.74705,1.25177,0.291337,999,,,,,,,610.8000000000001,3.0848484848484854,666,3.3636363636363638,,,,,,,,,,,,,,,,,,,"Cole Wilcox","27481",677961
"Mitchell Parker","WSN",11.1912,0,0,4.87782,33,33,0,0,,198,864.216,209.275,117.208,107.312,30.7849,65.6714,2.62677,9.34913,147.923,6.72379,2.98506,2.25248,1.39931,0.171165,0.0759895,0.09517538547515869,0.265175,1.38862,0.292373,0.680355,,,4.79886,1.25124,0.665613,999,,,,,,,611.5000000000001,3.088383838383839,658,3.323232323232323,,,,,,,,,,,,,,,,,,,"Mitchell Parker","27636",680730
"Gabe Speier","SEA",4.62628,0,0,3.1941,70,0,0,0,,70,280.538,55.4721,27.134,24.843,7.41916,22.059,0.85269,3.0593,76.9944,9.89929,2.83616,3.49038,0.953891,0.274453,0.0786311,0.19582170248031616,0.21718,1.10759,0.281002,0.75058,,,3.38964,1.2497,1.54995,745.5900268554688,,,,,,,367.9,5.255714285714285,338,4.828571428571428,,,,,,,,,,,,,,,,,,,"Gabe Speier","17170",642100
"Jaron DeBerry","MIL",11.0113,0,0,4.87262,33,33,0,0,,198,849.709,206.078,117.083,107.198,30.2035,63.4845,2.58267,9.15643,140.434,6.38338,2.88566,2.21211,1.37289,0.165274,0.0747133,0.09056032449007034,0.2652,1.36143,0.290017,0.670896,,,4.80029,1.24866,0.665613,999,,,,,,,624.6,3.1545454545454548,664,3.3535353535353534,,,,,,,,,,,,,,,,,,,"Jaron DeBerry","sa3029984",809229
"Antwone Kelly","PIT",10.4495,0,0,4.91018,33,33,0,0,,198,810.616,190.239,117.986,108.024,28.9806,70.1742,2.46385,9.05202,141.657,6.43894,3.18973,2.01864,1.3173,0.174752,0.0865689,0.08818292617797852,0.260106,1.31522,0.287575,0.647868,,,4.80742,1.24515,0.571418,999,,,,,,,661.5,3.340909090909091,660,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Antwone Kelly","sa3015489",699008
"Jonathan Cannon","CHW",11.3365,0,0,4.86984,33,33,0,0,,198,874.459,214.457,117.016,107.137,30.4398,63.6427,2.6579,9.36739,142.797,6.49076,2.89285,2.24372,1.38363,0.163297,0.0727796,0.09051761031150818,0.267586,1.40454,0.292921,0.684052,,,4.79753,1.24423,0.665613,999,,,,,,,606.8000000000001,3.064646464646465,667,3.3686868686868685,,,,,,,,,,,,,,,,,,,"Jonathan Cannon","31730",686563
"Ryan Feltner","COL",11.6646,0,0,4.8059,33,33,0,0,,198,891.753,207.139,115.48,105.73,27.7758,85.7268,2.71047,10.2393,161.263,7.33013,3.89667,1.88113,1.26253,0.180838,0.0961328,0.0847051814198494,0.260294,1.47912,0.295613,0.698425,,,4.78391,1.24422,0.85527,999,,,,,,,616.6000000000001,3.114141414141415,660,3.3333333333333335,,,,,,,,,,,,,,,,,,,"Ryan Feltner","21446",663372
"Yu-Min Lin","ARI",11.5069,0,0,4.92878,33,33,0,0,,198,894.973,222.418,118.433,108.433,28.1902,70.3103,2.72025,9.75775,141.042,6.41101,3.19592,2.006,1.28137,0.157594,0.0785614,0.07903245836496353,0.272937,1.47843,0.300815,0.688203,,,4.77449,1.23472,0.571418,999,,,,,,,585.6000000000001,2.9575757575757584,668,3.3737373737373737,,,,,,,,,,,,,,,,,,,"Yu-Min Lin","sa3019278",801179
"Paul Bonzagni","TEX",11.0492,0,0,4.9249,33,33,0,0,,198,858.913,206.954,118.339,108.348,24.7186,80.8814,2.61065,9.80652,137.235,6.23797,3.67643,1.69675,1.12357,0.159778,0.0941673,0.0656106099486351,0.269393,1.45372,0.300584,0.669339,,,4.74592,1.22761,0.571418,999,,,,,,,620.5,3.1338383838383836,666,3.3636363636363638,,,,,,,,,,,,,,,,,,,"Paul Bonzagni","sa3022587",805823
