"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Lee, Jung Hoo","808982","50","11.3",32,"104","88.9","97.5","89.9","88","361","164","361","19",38,"1",2,1.5
"Arozarena, Randy","668227","50","6.6",36,"109.6","90.9","100.6","92.8","89.2","426","149","426","21",42,"4",8,5.3
"Abrams, CJ","682928","50","16.6",38,"110.8","91.9","102.1","92.5","92.5","391","185","379","25",50,"7",14,10.3
"Correa, Carlos","621043","50","8.7",40,"113.1","91.2","102.6","93.8","89.5","411","149","402","22",44,"5",10,7.7
"Hicks, Liam","689414","49","8.2",34.7,"106.5","88.8","98.7","92.1","85.2","384","159","367","19",38.8,"3",6.1,5.2
"Varsho, Daulton","662139","49","17.5",38.8,"110.2","85.1","97.2","90.6","80.5","405","175","388","17",34.7,"3",6.1,4.8
"Aranda, Jonathan","666018","49","20.4",42.9,"107","93","101","92.7","95.5","405","217","399","24",49,"5",10.2,6.7
"Henderson, Gunnar","683002","49","18.9",34.7,"107.1","90.6","100.2","96.8","85.4","410","176","388","23",46.9,"6",12.2,7.4
"Ramírez, Agustín","682663","49","11",26.5,"114.9","88.5","100.1","93.4","89.3","418","136","418","17",34.7,"3",6.1,4.1
"Rodríguez, Julio","677594","48","4.7",20.8,"111.3","87.9","100.7","93","85.1","426","118","426","18",37.5,"2",4.2,2.6
"Neto, Zach","687263","48","25",33.3,"107","89.7","99.6","95.7","76.1","443","200","397","18",37.5,"6",12.5,7
"Soderstrom, Tyler","691016","48","9",22.9,"113.2","89.7","101.3","97.8","83.3","420","140","403","21",43.8,"4",8.3,5.6
"Olson, Matt","621566","48","13.9",35.4,"111.6","92.5","103.9","99.2","87.2","441","169","424","22",45.8,"9",18.8,11.3
"Pasquantino, Vinnie","686469","48","19",29.2,"106.5","88.6","97.9","93.2","86.2","372","165",,"14",29.2,"2",4.2,2.7
"Bohm, Alec","664761","48","6.4",41.7,"108.8","88.5","99.4","92","87.5","391","142","354","19",39.6,"0",0,0
"Buxton, Byron","621439","47","29.7",36.2,"109.3","89.8","100.2","94.4","82","438","206","420","22",46.8,"7",14.9,9.7
"Stewart, Sal","701398","47","13.8",40.4,"111.4","93.4","104.1","95.4","91","409","190","391","24",51.1,"10",21.3,13.9
"Smith, Cam","701358","47","9.1",27.7,"112.3","90.7","104.2","94.3","87.8","462","167","403","25",53.2,"8",17,11.1
"Greene, Riley","682985","47","10.3",29.8,"111","89","102.3","97.5","82.6","408","173","408","24",51.1,"6",12.8,8.3
"Torres, Gleyber","650402","47","7.8",44.7,"101","83.9","94.2","88.3","78","397","168","364","11",23.4,"3",6.4,4.1
"García Jr., Luis","671277","47","11.5",29.8,"109.7","90.8","101","95.9","87.2","405","148","405","20",42.6,"4",8.5,7
"Crow-Armstrong, Pete","691718","47","23.5",17,"111.5","91.8","102.2","93.5","94.7","399","141","389","21",44.7,"2",4.3,2.7
"Caminero, Junior","691406","47","16.8",27.7,"116.9","90.2","101.3","94.9","90","401","135","399","17",36.2,"4",8.5,5.6
"Rocchio, Brayan","677587","47","10",27.7,"108.1","88.2","98.6","91.3","87.9","402","149","390","16",34,"2",4.3,3
"Burger, Jake","669394","47","5",34,"113.6","90.6","103.4","94.4","87.1","438","157","403","25",53.2,"6",12.8,8.3
"Contreras, William","661388","46","18.4",21.7,"110.9","91.8","101.3","95.6","94.3","415","148","397","21",45.7,"2",4.3,3.1
"Ohtani, Shohei","660271","46","14.7",34.8,"114.6","94","103.7","96.7","91.3","438","199","403","24",52.2,"11",23.9,13.4
"Tovar, Ezequiel","678662","46","14",54.3,"108.9","89.8","101.1","95.1","80.9","401","195","401","22",47.8,"4",8.7,5.8
"Laureano, Ramón","657656","46","12.5",37,"107.3","89.3","101","94.3","83.7","423","188","396","23",50,"7",15.2,10.6
"Trout, Mike","545361","46","22.6",37,"111.6","92.8","104.1","98.6","83.7","445","230","421","21",45.7,"13",28.3,16.3
"De La Cruz, Elly","682829","46","13.1",37,"111.9","94.7","104.5","95.4","93.9","405","174","377","24",52.2,"7",15.2,9.3
"Reynolds, Bryan","668804","46","9.2",41.3,"109.5","93.1","103.4","97.1","88.6","417","173","405","23",50,"5",10.9,6.6
"Tucker, Kyle","663656","46","13.2",30.4,"104.3","87.3","98.1","88.9","86.8","404","157","404","18",39.1,"1",2.2,1.3
"Devers, Rafael","646240","46","13.9",32.6,"108.1","90.7","101.9","94.7","88.3","411","182","408","22",47.8,"5",10.9,7
"McLain, Matt","680574","46","22.3",26.1,"110.5","87.7","97.6","90.2","88.7","385","170",,"13",28.3,"4",8.7,5.4
"Durbin, Caleb","702332","46","5.8",21.7,"103.4","85","95.5","91.2","82.8","339","100",,"11",23.9,"0",0,0
"Martínez, Angel","682657","46","19",30.4,"110.1","89.7","102.4","88.8","93.3","398","159","386","19",41.3,"3",6.5,5.3
"Marsh, Brandon","669016","46","10.1",45.7,"108.6","90.9","101","92.5","89.1","454","169","413","22",47.8,"3",6.5,4.8
"Acuña, Luisangel","682668","45","4.9",11.1,"109.8","87.8","98.2","90.7","87.5","360","122",,"15",33.3,"1",2.2,1.9
"Rumfield, TJ","681198","45","17.5",46.7,"107.6","88.5","98.9","92.1","84","423","193","405","19",42.2,"4",8.9,6.3
"Meidroth, Chase","805367","45","6.8",24.4,"107.7","87.6","98.4","92","85.1","417","135","417","19",42.2,"2",4.4,2.9
"Walker, Jordan","691023","45","14.1",46.7,"115.2","95.8","106.6","98.9","92.7","459","209","413","28",62.2,"11",24.4,15.7
"Pages, Andy","681624","45","19.3",35.6,"109.2","91.9","102.2","94.7","94.9","412","177","392","25",55.6,"4",8.9,6
"DeLauter, Chase","800050","45","13.2",44.4,"111.2","93","103.3","94.2","92.1","422","188","381","23",51.1,"8",17.8,12.7
"Caratini, Victor","605170","45","12.4",42.2,"106","88.9","98.6","91.1","88.5","423","161","423","18",40,"3",6.7,4.8
"Polanco, Jorge","593871","45","10.9",40,"108.7","87.3","98.2","90.6","85","379","168","346","15",33.3,"2",4.4,3.3
"Harris II, Michael","671739","45","5.4",26.7,"111.6","92.1","103.1","96.4","88.9","425","148","399","21",46.7,"7",15.6,11.5
"Cruz, Oneil","665833","44","7.9",38.6,"115.4","97.1","108.8","100.4","95.5","444","173","418","27",61.4,"9",20.5,12
"Stott, Bryson","681082","44","7.6",31.8,"106.6","89.9","99.7","92.9","86.7","377","156",,"22",50,"3",6.8,5.1
"Seager, Corey","608369","44","17.2",34.1,"110.3","90.6","101.7","93.8","87.6","422","186","405","20",45.5,"7",15.9,9.5
"Bell, Josh","605137","44","17.9",43.2,"106","89.6","99.7","92.7","86.7","401","199","392","21",47.7,"5",11.4,6.9
"Arenado, Nolan","571448","44","23.7",27.3,"103.9","83.8","95.1","87.1","83.7","401","163","399","11",25,"2",4.5,3.3
"Raleigh, Cal","663728","44","24.5",34.1,"107.8","83.8","96.1","88","74.4","418","194","391","11",25,"4",9.1,5.1
"Busch, Michael","683737","44","14.3",25,"105.4","84.7","96.4","91.8","77.4","380","143",,"14",31.8,"2",4.5,3
"Diaz, Yainer","673237","44","3.3",15.9,"108.3","86.8","97.7","91.4","84.4","372","103","372","12",27.3,"1",2.3,1.8
"Alonso, Pete","624413","43","10.8",34.9,"108.8","95","102.4","97","92.4","400","180","400","25",58.1,"3",7,4.1
"García, Adolis","666969","43","20.3",37.2,"109.5","92.7","101.8","94.2","94.6","405","190","377","21",48.8,"5",11.6,7.2
"Young, Cole","702284","43","18.1",34.9,"111.3","84.9","95.4","90.5","81.4","397","166","381","12",27.9,"3",7,4.3
"Cronenworth, Jake","630105","43","8.4",27.9,"108.6","89.3","99.4","91.6","88.6","399","139","399","15",34.9,"2",4.7,3.2
"Langford, Wyatt","694671","42","13.8",23.8,"109","90.1","100.5","94.8","89.3","395","142","365","17",40.5,"3",7.1,5.2
"Anthony, Roman","701350","42","10.6",42.9,"112.3","92.1","102.7","96.2","88.1","391","156","391","19",45.2,"5",11.9,7
"Young, Jacob","696285","42","10.3",45.2,"103.9","88.4","98.5","90.8","88","385","164","383","17",40.5,"3",7.1,5.8
"Judge, Aaron","592450","42","8.2",35.7,"116.2","90.9","105.7","103.4","81.3","456","186","407","22",52.4,"12",28.6,16.2
"McNeil, Jeff","643446","42","9.3",33.3,"103.5","86.3","96.7","90.1","85","353","127",,"14",33.3,"0",0,0
"Chisholm Jr., Jazz","665862","42","16.8",16.7,"106","88.1","98.1","93.9","84.5","344","139",,"14",33.3,"2",4.8,3
"Lowe, Brandon","664040","42","18.9",28.6,"108.5","84.6","99.4","94.7","79","444","170","390","18",42.9,"5",11.9,7.4
"Wood, James","695578","42","3.3",33.3,"116.3","94.7","108.2","105.4","87.6","416","164","395","25",59.5,"10",23.8,12
"Machado, Manny","592518","41","7.4",31.7,"108","86.4","98.1","91.8","81","403","161","384","14",34.1,"3",7.3,4.4
"Soler, Jorge","624585","41","20.3",39,"111.3","88.4","100.3","92.1","85.8","418","195","390","17",41.5,"6",14.6,7.6
"Langeliers, Shea","669127","41","24.4",46.3,"111.6","93.2","102.2","93.8","97.6","420","225","394","18",43.9,"5",12.2,7.2
"Smith, Will","669257","41","17.7",43.9,"110.8","88.8","99","94.5","80.2","418","192","416","15",36.6,"5",12.2,8.5
"O'Hoppe, Logan","681351","41","17.9",24.4,"108.4","87.7","99.4","92.8","85.8","377","162",,"16",39,"3",7.3,4.8
"Frelick, Sal","686217","41","10.2",24.4,"106.7","85.7","97.7","88.3","86.3","407","129","407","11",26.8,"1",2.4,1.6
"Carroll, Corbin","682998","41","6.4",39,"109.5","91.9","101.3","95.4","87.5","410","167","407","18",43.9,"5",12.2,7.6
"Smith, Josh","669701","41","15.7",36.6,"105.3","86.8","97.8","89.3","83.7","383","179",,"14",34.1,"2",4.9,3.6
"Fortes, Nick","663743","41","8.4",31.7,"108.8","87.2","100.7","92.7","84.9","408","128","408","17",41.5,"1",2.4,2.1
"Friedl, TJ","670770","41","15.1",9.8,"104.5","84.1","94.3","82.1","85.7","325","99",,"7",17.1,"0",0,0
"Vargas, Miguel","678246","41","12.8",39,"109.1","86.4","99.4","92.6","76.9","402","178","402","17",41.5,"4",9.8,6
"Keith, Colt","690993","41","13.7",41.5,"105.9","93.9","102.4","93.8","95.5","414","178",,"23",56.1,"4",9.8,7
"House, Brady","691781","41","6.7",29.3,"110.8","88.7","99.4","92.1","85","423","160","395","17",41.5,"4",9.8,6.2
"Springer, George","543807","40","22.6",25,"108.8","88.9","99.5","94.8","85.4","416","154","389","17",42.5,"4",10,6.5
"Scott II, Victor","687363","40","0.4",30,"103.8","87.1","96.2","88.5","86.1","365","109",,"9",22.5,"0",0,0
"Nuñez, Nasim","683083","40","7.8",30,"103.2","85.1","94.4","89.1","82.6","335","139",,"7",17.5,"0",0,0
"Robert Jr., Luis","673357","40","7.8",15,"112.4","89.5","101.8","94.1","87.3","412","136","400","17",42.5,"2",5,3
"Mullins, Cedric","656775","40","28.6",25,"104.2","87","96.8","91.9","79.1","367","190","367","13",32.5,"1",2.5,1.8
"Stanton, Giancarlo","519317","40","21.4",40,"116.3","92.4","102.6","96","89.3","414","184","414","14",35,"5",12.5,7.8
"Turang, Brice","668930","39","14.9",35.9,"109.6","93.5","102.3","98.3","88.3","433","187","401","19",48.7,"4",10.3,6.1
"Crawford, Justin","702222","39","-3.6",25.6,"106.9","88.1","98.1","90.4","87.3","351","100",,"12",30.8,"1",2.6,1.8
"Baty, Brett","683146","39","8.3",30.8,"110.6","90.8","99.9","94.7","86.5","368","152",,"14",35.9,"3",7.7,5.3
"Bauers, Jake","641343","39","7.7",28.2,"112.4","93.7","103.9","100.5","88.5","428","160","395","22",56.4,"6",15.4,10.9
"Caballero, José","676609","39","8.6",30.8,"108.2","82.2","96.6","90.7","75.5","370","136","370","11",28.2,"2",5.1,3.4
"Suárez, Eugenio","553993","39","19.5",33.3,"109.6","85.6","99.3","91","81.7","431","160","421","9",23.1,"4",10.3,6
"Yastrzemski, Mike","573262","39","9.3",20.5,"105","89.8","98.8","93","88.4","367","141",,"15",38.5,"1",2.6,1.6
"Montgomery, Colson","695657","39","26.2",35.9,"108.6","85.4","96.9","87.6","85.3","405","168","379","11",28.2,"4",10.3,6
"Lee, Brooks","686797","39","15.7",28.2,"104.1","88.2","97.9","90.7","88.6","382","150","367","15",38.5,"2",5.1,3.8
"Gonzales, Nick","693304","39","5.1",33.3,"108.6","87.3","99.4","94.3","82.9","359","142",,"16",41,"1",2.6,1.9
"Steer, Spencer","668715","39","20.8",38.5,"107.1","87.6","99.7","93.7","82.2","401","206","394","12",30.8,"7",17.9,12.1
"Muncy, Max","691777","39","6.2",43.6,"111.4","95.3","105.4","100.6","91.3","404","154","383","27",69.2,"5",12.8,7.5
"Donovan, Brendan","680977","39","12.7",38.5,"103.9","84.7","95.7","91.1","81.1","381","142","348","11",28.2,"2",5.1,3.3
"Grisham, Trent","663757","39","15.1",25.6,"105.7","92.1","101.7","97.8","89.4","391","182","373","25",64.1,"5",12.8,7.7
"Duran, Jarren","680776","39","12.8",28.2,"114.7","90.4","102.8","94.6","92.1","424","146","424","16",41,"5",12.8,8.1
"Ramos, Heliot","671218","39","6.5",30.8,"111.3","89.3","101.4","90.9","88","360","115",,"15",38.5,"2",5.1,3.1
"Rafaela, Ceddanne","678882","38","10.9",39.5,"108.6","88.7","98.3","90","87.5","352","165","337","14",36.8,"3",7.9,5.8
"Bailey, Patrick","672275","38","11.5",23.7,"105.9","89.1","97.5","89.3","91.7","376","138",,"14",36.8,"2",5.3,4.3
"Dingler, Dillon","693307","38","7.4",42.1,"107.6","92.8","101.9","98.3","87.1","433","169","413","22",57.9,"6",15.8,10.5
