Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bennett Thompson","CLE",0.25,1,0.876,0.1701,0.1248,0.0309,0.0015,0.0129,0.088,0.0759,0.1029,0,0.2403,0.01,0.0072,0.0039,,0.009,0.0029,0.194178,0.1029,0.2403,0.428215,0.284108,0.277055,0.256847,0.561163,0.0828767,3.46635,0.249524,0,-0.000956818,0.072522,-0.0456357,62.6606,-0.000956818,0,-0.044965713983401656,0.020999999716877937,0.00107135,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Bennett Thompson","sa3025451",701750
"Duce Gourson","PIT",0.25,1,0.8835,0.1955,0.1349,0.0437,0.0026,0.0143,0.1004,0.0867,0.0904,0,0.2618,0.015,0.0072,0.0039,,0.0323,0.0096,0.221279,0.0904,0.2618,0.345302,0.302078,0.325184,0.281442,0.627262,0.103905,5.12813,0.294826,0,0.000942251,0.0924913,-0.0256664,76.4988,0.000942251,0,-0.026911541470326483,0.004000000189989805,0.00106208,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Duce Gourson","sa3025248",701546
"Kevin Newman","KCR",0.39,1.51894,1.3992,0.3365,0.2476,0.0703,0.0039,0.0146,0.1428,0.1296,0.0898,0.0015,0.2794,0.0122,0.0111,0.0068,,0.019,0.0049,0.240495,0.0591203,0.183945,0.321403,0.289956,0.327544,0.272895,0.6175,0.0870498,3.9666,0.288363,0.001,-0.000504678,0.129947,-0.0495271,69.514,0.000495322,0.006,-0.05408203962724656,0.012000000104308128,0.00104622,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kevin Newman","17696",621028
"Jace Bohrofen","TOR",0.25,1,0.8839,0.1762,0.1065,0.0387,0.004,0.027,0.1028,0.0983,0.093,0.001,0.3458,0.012,0.0072,0.0039,,0.0154,0.0047,0.199344,0.093,0.3458,0.268942,0.282301,0.343817,0.277417,0.626118,0.144473,4.67556,0.287864,0,-0.000234384,0.089223,-0.0289347,76.2497,-0.000234384,0,-0.028226893133250996,0.004000000189989805,0.00104463,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jace Bohrofen","sa3022653",690957
"Donovan Walton","LAA",0.33,1.29651,1.1556,0.2641,0.1885,0.0482,0.0028,0.0246,0.1266,0.1181,0.1105,0.0052,0.2311,0.0156,0.0095,0.0054,,0.0089,0.0029,0.228539,0.0852285,0.178247,0.478148,0.3022,0.338958,0.28407,0.641158,0.110419,3.26237,0.26336,-0.001,-0.00145016,0.122682,-0.030511,79.0509,-0.00245016,-0.005,-0.03446232667192817,0,0.00104214,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Donovan Walton","19314",622268
"Roc Riggio","COL",0.25,1,0.884,0.2002,0.1257,0.0462,0.0027,0.0256,0.1088,0.1014,0.0939,0,0.2511,0.011,0.0072,0.0039,,0.0267,0.0088,0.226471,0.0939,0.2511,0.373955,0.306295,0.371719,0.299236,0.678014,0.145249,4.85806,0.284133,0,0.000213901,0.106938,-0.0112201,76.9182,0.000213901,0,-0.027142756691318937,0.004000000189989805,0.00103842,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Roc Riggio","sa3022750",691792
"Frank Rodriguez","LAD",0.25,1,0.9101,0.1858,0.1258,0.037,0.0023,0.0207,0.097,0.0943,0.0688,0,0.2453,0.01,0.0072,0.0039,,0.0064,0.002,0.204153,0.0688,0.2453,0.280473,0.265636,0.318097,0.258953,0.583733,0.113944,3.49634,0.253493,0,-0.000889737,0.0742322,-0.0439255,63.4857,-0.000889737,0,-0.044166773674078286,0.020999999716877937,0.00103597,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Frank Rodriguez","sa3009330",684491
"Mitch Jebb","PIT",0.25,1,0.8945,0.2138,0.1645,0.035,0.0073,0.0071,0.0973,0.0814,0.0884,0.001,0.1572,0.006,0.0072,0.0039,,0.0313,0.0089,0.239016,0.0884,0.1572,0.562341,0.309407,0.31839,0.281153,0.627797,0.0793739,5.45863,0.280309,0,0.000912724,0.092256,-0.0259017,76.3003,0.000912724,0,-0.027176316478289664,0.004000000189989805,0.00103499,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Mitch Jebb","sa3022565",694991
"Jacob Amaya","ARI",0.38,1.48916,1.3277,0.2812,0.1959,0.0525,0.0061,0.0267,0.1458,0.1322,0.1334,0,0.3879,0.0104,0.0109,0.0068,,0.0191,0.0053,0.211795,0.0895805,0.260482,0.343903,0.286697,0.320856,0.271458,0.607553,0.109061,4.4435,0.275433,0,-0.000593031,0.125663,-0.0502932,70.5585,-0.000593031,-0.006,-0.05255637102527544,0.012999999336898327,0.0010253,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jacob Amaya","23296",676070
"Jose Mujica","ATH",0.25,1,0.9223,0.1982,0.1365,0.0389,0.0032,0.0196,0.0955,0.0933,0.0566,0,0.2303,0.01,0.0072,0.0039,,0.0118,0.0037,0.214898,0.0566,0.2303,0.245766,0.265837,0.327768,0.261532,0.593604,0.11287,4.24578,0.262802,0,-0.000496014,0.0763262,-0.0418315,61.8842,-0.000496014,0,-0.045419889502227306,0.020999999716877937,0.00102489,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jose Mujica","sa3006525",678796
