Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Henry Gomez",,0.0407,0.0576,0,5.67837,1,0,0,0,,1,4.695,1.1313,0.6761,0.63093,0.137111,0.6297,,0.0627,0.5399,4.8591,5.6673,0.857392,1.234,0.114995,0.134121,-0.019126728177070618,0.282641,1.761,0.298951,0.69144,,,5.86074,-0.0171933,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Henry Gomez","sa3009993",683510
"Jose Alcantara",,0.0406,0.0578,0,5.74596,1,0,0,0,,1,4.717,1.0733,0.6802,0.63844,0.145333,0.7112,,0.046,0.6905,6.2145,6.4008,0.970894,1.308,0.146385,0.150774,-0.004388377070426941,0.271049,1.7845,0.297048,0.698467,,,5.86083,-0.0171943,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jose Alcantara","sa3007819",682549
"Carlos Jimenez",,0.0408,0.0606,0.006,5.6151,0.8912,0.0232,0,0,,1,4.766,1.0122,0.6672,0.6239,0.130556,0.8258,,0.0539,0.778,7.002,7.4322,0.942117,1.175,0.16324,0.173269,-0.010029390454292297,0.260453,1.838,0.296078,0.707337,,,5.86122,-0.0171986,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Carlos Jimenez","sa3008711",683639
"Jason Franks",,0.0407,0.0577,0,5.71482,1,0,0,0,,1,4.71,1.0822,0.6775,0.63498,0.143444,0.698,,0.0468,0.6591,5.9319,6.282,0.944269,1.291,0.139936,0.148195,-0.008259028196334839,0.272924,1.7802,0.296825,0.698186,,,5.86187,-0.0172058,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Jason Franks","sa3019912",693443
"Nathan Karaffa",,0.0405,0.0578,0,5.75424,1,0,0,0,,1,4.706,1.0993,0.6819,0.63936,0.145222,0.6744,,0.0483,0.6375,5.7375,6.0696,0.945285,1.307,0.135465,0.143306,-0.007841050624847412,0.275977,1.7737,0.298095,0.695242,,,5.86188,-0.017206,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Nathan Karaffa","sa3021466",688087
"Adilson Peralta","PHI",0.0407,0.0576,0,5.78709,1,0,0,0,,1,4.699,1.0695,0.6841,0.64301,0.157111,0.6945,,0.0475,0.6871,6.1839,6.2505,0.989345,1.414,0.146223,0.147797,-0.0015748143196105957,0.270281,1.764,0.29311,0.699397,,,5.97514,-0.0172135,-0.0469083,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Adilson Peralta","sa3018816",800012
"Estarlin Rodriguez",,0.0406,0.0577,0,5.7249,1,0,0,0,,1,4.704,1.0943,0.6789,0.6361,0.143889,0.6773,,0.0504,0.6357,5.7213,6.0957,0.93858,1.295,0.13514,0.143984,-0.008843541145324707,0.275206,1.7716,0.297309,0.695918,,,5.86315,-0.01722,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Estarlin Rodriguez","sa3004871",677674
"Max Bain",,0.0405,0.0578,0,5.75685,1,0,0,0,,1,4.708,1.0789,0.6809,0.63965,0.148222,0.6837,,0.0556,0.6804,6.1236,6.1533,0.995173,1.334,0.14452,0.145221,-0.0007009357213973999,0.271852,1.7626,0.296387,0.695587,,,5.86488,-0.0172392,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Max Bain","sa3014932",694053
"Luis Torres","TOR",0.0413,0.057,0,5.60889,1,0,0,0,,1,4.778,1.0379,0.6659,0.62321,0.134667,0.7928,,0.0557,0.737,6.633,7.1352,0.929617,1.212,0.154249,0.165927,-0.011678531765937805,0.26413,1.8307,0.295383,0.709307,,,5.90306,-0.0172411,-0.0483209,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Luis Torres","sa3018320",800187
"Cam Tullar",,0.0411,0.0612,0.0086,5.59881,0.8582,0.0302,0,0,,1,4.71,1.0809,0.6643,0.62209,0.141,0.6908,,0.052,0.6386,5.7474,6.2172,0.924435,1.269,0.135584,0.146667,-0.01108279824256897,0.272459,1.7717,0.294861,0.703424,,,5.86509,-0.0172415,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cam Tullar","sa3022415",690342
"Louis Marinaro","TEX",0.0405,0.0579,0,5.64237,1,0,0,0,,1,4.773,1.0542,0.6702,0.62693,0.131556,0.7979,,0.0505,0.6835,6.1515,7.1811,0.856624,1.184,0.143201,0.16717,-0.023968160152435303,0.268613,1.8521,0.296714,0.708606,,,5.96932,-0.0172754,-0.0479661,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Louis Marinaro","sa3076088",835516
"Cody Tucker",,0.0404,0.0604,0.0047,5.75064,0.9109,0.0189,0,0,,1,4.684,1.0802,0.6796,0.63896,0.154222,0.6568,,0.0516,0.6714,6.0426,5.9112,1.02223,1.388,0.143339,0.140222,0.003116995096206665,0.271707,1.737,0.293963,0.69516,,,5.86818,-0.0172757,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Cody Tucker","sa3022524",688398
"Niklas Rimmel",,0.0405,0.0578,0,5.76864,1,0,0,0,,1,4.699,1.0823,0.6819,0.64096,0.151333,0.678,,0.0462,0.6759,6.0831,6.102,0.996903,1.362,0.143839,0.144286,-0.00044690072536468506,0.27229,1.7603,0.295773,0.696446,,,5.86903,-0.0172851,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Niklas Rimmel","sa3008426",678283
"Eiver Espinoza",,0.0407,0.0576,0,5.69997,1,0,0,0,,1,4.744,1.0605,0.6766,0.63333,0.135889,0.7566,,0.0509,0.7001,6.3009,6.8094,0.925324,1.223,0.147576,0.159486,-0.011909782886505127,0.269402,1.8171,0.298212,0.701046,,,5.86975,-0.0172931,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Eiver Espinoza","sa3018908",805096
"Tanner Jacobson",,0.041,0.0573,0,5.64993,1,0,0,0,,1,4.695,1.0334,0.6677,0.62777,0.151111,0.7126,,0.0511,0.7326,6.5934,6.4134,1.02807,1.36,0.156038,0.151778,0.004259854555130005,0.262865,1.746,0.289504,0.70273,,,5.87124,-0.0173096,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Tanner Jacobson","sa3020454",805374
"Miguel Flores","CLE",0.0406,0.0577,0,5.44905,1,0,0,0,,1,4.753,1.0309,0.6484,0.60545,0.130222,0.7686,,0.0611,0.7704,6.9336,6.9174,1.00234,1.172,0.162087,0.161708,0.0003787130117416382,0.262764,1.7995,0.297973,0.711791,,,5.72208,-0.0173273,-0.0491143,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Miguel Flores","sa3024465",821793
"Kleiber Olmedo","SDP",0.0408,0.0637,0.0128,5.54913,0.7831,0.0461,0,0,,1,4.638,1.0797,0.6583,0.61657,0.153556,0.6235,,0.0457,0.6314,5.6826,5.6115,1.01267,1.382,0.136136,0.134433,0.0017033219337463379,0.272047,1.7032,0.290889,0.702113,,,5.82192,-0.0173439,-0.0521455,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Kleiber Olmedo","sa3022420",811598
"Malik Binns",,0.0406,0.0578,0,5.73588,1,0,0,0,,1,4.728,1.0792,0.6802,0.63732,0.140556,0.7181,,0.0506,0.6697,6.0273,6.4629,0.9326,1.265,0.141646,0.151882,-0.010236874222755432,0.272573,1.7973,0.298073,0.69796,,,5.87481,-0.0173492,-0.0476734,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Malik Binns","sa3017987",702238
"Noah Ruen","LAD",0.0434,0.055,0,5.8212,1,0,0,0,,1,4.721,1.0986,0.6909,0.6468,0.152444,0.6947,,0.059,0.6195,5.5755,6.2523,0.891752,1.372,0.131222,0.147151,-0.015928834676742554,0.276914,1.7933,0.296103,0.697775,,,6.08477,-0.0173554,-0.0486583,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Noah Ruen","sa3022913",815125
"Brock Porter","TEX",0.0402,0.0581,0,5.73066,1,0,0,0,,1,4.735,1.0177,0.6765,0.63674,0.149556,0.7458,,0.0777,0.7598,6.8382,6.7122,1.01877,1.346,0.160465,0.157508,0.002956703305244446,0.260181,1.7635,0.289175,0.69943,,,5.97602,-0.0173588,-0.0479756,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Brock Porter","sa3020708",702548
