rank,name,tier_num,tier_name,hand,team,mlbid
171,Elmer Rodri­guez-Cruz,25,Spec Add 2026 Prospect,RHP,NYY,695684
172,Tanner McDougal,25,Spec Add 2026 Prospect,RHP,CHW,701780
173,Khal Stephen,25,Spec Add 2026 Prospect,RHP,CLE,701590
174,Jake Bennett,25,Spec Add 2026 Prospect,LHP,BOS,687562
175,Didier Fuentes,25,Spec Add 2026 Prospect,RHP,ATL,800311
176,Bryce Mayer,25,Spec Add 2026 Prospect,RHP,HOU,809343
177,Ty Johnson,25,Spec Add 2026 Prospect,RHP,TBR,694494
178,Jurrangelo Cijntje,25,Spec Add 2026 Prospect,RHP,STL,701388
179,David Davalillo,25,Spec Add 2026 Prospect,RHP,TEX,699314
180,Miguel Mendez,25,Spec Add 2026 Prospect,RHP,SDP,700280
181,Jack Wenninger,25,Spec Add 2026 Prospect,RHP,NYM,811307
182,Marco Raya,25,Spec Add 2026 Prospect,RHP,MIN,694397
183,Tink Hence,25,Spec Add 2026 Prospect,RHP,STL,693311
184,Santiago Suarez,25,Spec Add 2026 Prospect,RHP,TBR,800571
185,Anderson Brito,25,Spec Add 2026 Prospect,RHP,TBR,820901
186,Miguel Ullola,25,Spec Add 2026 Prospect,RHP,FA,699044
187,George Klassen,25,Spec Add 2026 Prospect,RHP,LAA,691946
188,Nick Frasso,25,Spec Add 2026 Prospect,RHP,LAD,693308
189,Davis Martin,26,Toby 15-Team Again,RHP,CHW,663436
190,Chris Bassitt,26,Toby 15-Team Again,RHP,FA,605135
191,Jeffrey Springs,26,Toby 15-Team Again,LHP,ATH,605488
192,Adrian Houser,26,Toby 15-Team Again,RHP,SFG,605288
193,Chris Paddack,26,Toby 15-Team Again,RHP,MIA,663978
194,Foster Griffin,26,Toby 15-Team Again,LHP,WAS,656492
195,Michael McGreevy,26,Toby 15-Team Again,RHP,STL,700241
196,José Berrios,26,Toby 15-Team Again,RHP,TOR,621244
197,JP Sears,27,Toby 15-Team If Job,LHP,SDP,676664
198,Jason Alexander,27,Toby 15-Team If Job,RHP,HOU,669920
199,Chad Patrick,27,Toby 15-Team If Job,RHP,MIL,694477
200,Janson Junk,27,Toby 15-Team If Job,RHP,MIA,676083
201,Dean Kremer,27,Toby 15-Team If Job,RHP,BAL,665152
202,Michael Soroka,27,Toby 15-Team If Job,RHP,ARI,647336
203,Logan Allen,27,Toby 15-Team If Job,LHP,CLE,663531
204,Luis Morales,27,Toby 15-Team If Job,RHP,ATH,806960
205,Taj Bradley,27,Toby 15-Team If Job,RHP,MIN,671737
206,José Urquidy,27,Toby 15-Team If Job,RHP,PIT,664353
207,Anthony Kay,27,Toby 15-Team If Job,LHP,CHW,641743
208,Steven Matz,27,Toby 15-Team If Job,LHP,TBR,571927
209,Blade Tidwell,28,Kinda Cool But No Job,RHP,SFG,694918
210,Zack Littell,28,Kinda Cool But No Job,RHP,FA,641793
211,Brandon Williamson,28,Kinda Cool But No Job,LHP,CIN,682227
212,Ryan Bergert,28,Kinda Cool But No Job,RHP,KCR,686701
213,Kutter Crawford,28,Kinda Cool But No Job,RHP,BOS,676710
214,Kumar Rocker,28,Kinda Cool But No Job,RHP,TEX,677958
215,Yoendrys Gómez,28,Kinda Cool But No Job,RHP,TBR,672782
216,David Festa,28,Kinda Cool But No Job,RHP,MIN,701581
217,Trevor McDonald,28,Kinda Cool But No Job,RHP,SFG,686790
218,Hayden Birdsong,28,Kinda Cool But No Job,RHP,SFG,806185
219,Ben Brown,28,Kinda Cool But No Job,RHP,CHC,676962
220,Tobias Myers,28,Kinda Cool But No Job,RHP,NYM,668964
221,Robert Gasser,28,Kinda Cool But No Job,LHP,MIL,688107
222,Drey Jameson,28,Kinda Cool But No Job,RHP,ARI,686753
223,Carmen Mlodzinski,28,Kinda Cool But No Job,RHP,PIT,669387
224,Colton Gordon,28,Kinda Cool But No Job,LHP,HOU,676467
225,Joe Boyle,28,Kinda Cool But No Job,RHP,TBR,671212
226,Jedixson Paez,28,Kinda Cool But No Job,RHP,CHW,699151
227,Jordan Wicks,28,Kinda Cool But No Job,LHP,CHC,696136
228,Luis Medina,28,Kinda Cool But No Job,RHP,ATH,665622
229,Jack Perkins,28,Kinda Cool But No Job,RHP,ATH,678022
230,Drew Anderson,28,Kinda Cool But No Job,RHP,DET,623454
231,J.T. Ginn,28,Kinda Cool But No Job,RHP,ATH,669372
232,Stephen Kolek,28,Kinda Cool But No Job,RHP,KCR,663568
233,Jake Miller,29,Stud Likely 2027 Prospect,LHP,DET,681313
234,Winston Santos,29,Stud Likely 2027 Prospect,RHP,TEX,692437
235,Christian Oppor,29,Stud Likely 2027 Prospect,LHP,CHW,803291
236,Mason Morris,29,Stud Likely 2027 Prospect,RHP,CIN,
237,Kelvis Salcedo,29,Stud Likely 2027 Prospect,RHP,DET,808383
238,Jackson Ferris,29,Stud Likely 2027 Prospect,LHP,LAD,701328
239,Chase Hampton,29,Stud Likely 2027 Prospect,RHP,NYY,694633
240,Gage Wood,29,Stud Likely 2027 Prospect,RHP,PHI,805906
241,Ryan Sloan,29,Stud Likely 2027 Prospect,RHP,SEA,815549
242,Caden Scarborough,29,Stud Likely 2027 Prospect,RHP,TEX,807291
243,Ricky Tiedemann,29,Stud Likely 2027 Prospect,LHP,TOR,694357
244,Gage Stanifer,29,Stud Likely 2027 Prospect,RHP,TOR,804948
245,Jarlin Susana,29,Stud Likely 2027 Prospect,RHP,WAS,703186
246,Andre Pallante,30,Has Job But Do You Care?,RHP,STL,669467
247,Brad Lord,30,Has Job But Do You Care?,RHP,WAS,695418
248,Aaron Civale,30,Has Job But Do You Care?,RHP,FA,650644
249,Lance McCullers Jr.,30,Has Job But Do You Care?,RHP,HOU,621121
250,Taijuan Walker,30,Has Job But Do You Care?,RHP,PHI,592836
251,Sean Burke,30,Has Job But Do You Care?,RHP,CHW,680732
252,Bryce Elder,30,Has Job But Do You Care?,RHP,ATL,693821
253,Josiah Gray,30,Has Job But Do You Care?,RHP,WAS,680686
254,Miles Mikolas,30,Has Job But Do You Care?,RHP,WAS,571945
255,Erick Fedde,30,Has Job But Do You Care?,RHP,CHW,607200
256,Germán Márquez,30,Has Job But Do You Care?,RHP,SDP,608566
257,Randy Vasquez,30,Has Job But Do You Care?,RHP,SDP,681190
258,Chase Dollander,31,Has Job But It’s The Rockies,RHP,COL,801403
259,Kyle Freeland,31,Has Job But It’s The Rockies,LHP,COL,607536
260,Jose Quintana,31,Has Job But It’s The Rockies,RHP,COL,500779
261,Michael Lorenzen,31,Has Job But It’s The Rockies,RHP,COL,547179
262,Tomoyuki Sugano,31,Has Job But It’s The Rockies,RHP,WAS,608372
263,Daniel Eagen,32,Monitor 2026 Prospect,RHP,ARI,811666
264,Mitch Bratt,32,Monitor 2026 Prospect,LHP,ARI,683352
265,Drue Hackenberg,32,Monitor 2026 Prospect,RHP,ATL,802357
266,JR Ritchie,32,Monitor 2026 Prospect,RHP,ATL,702275
267,Nestor German,32,Monitor 2026 Prospect,RHP,BAL,815148
268,Trey Gibson,32,Monitor 2026 Prospect,RHP,BAL,694346
269,Will Dion,32,Monitor 2026 Prospect,LHP,CLE,702021
270,Braden Nett,32,Monitor 2026 Prospect,RHP,ATH,804556
271,Steven Echavarria,32,Monitor 2026 Prospect,RHP,ATH,806064
272,Felix Arronde,32,Monitor 2026 Prospect,RHP,KCR,702373
273,Chris Cortez,32,Monitor 2026 Prospect,RHP,LAA,700933
274,Patrick Copen,32,Monitor 2026 Prospect,RHP,LAD,814527
275,Peter Heubeck,32,Monitor 2026 Prospect,RHP,LAD,695646
276,Dax Fulton,32,Monitor 2026 Prospect,LHP,MIA,690978
277,Karson Milbrandt,32,Monitor 2026 Prospect,RHP,MIA,703596
278,Noble Meyer,32,Monitor 2026 Prospect,RHP,MIA,800611
279,Bishop Letson,32,Monitor 2026 Prospect,RHP,MIL,811309
280,Andrew Morris,32,Monitor 2026 Prospect,RHP,MIN,702193
281,Jonathan Pintaro,32,Monitor 2026 Prospect,RHP,NYM,702752
282,Jonathan Santucci,32,Monitor 2026 Prospect,LHP,NYM,695558
283,Will Watson,32,Monitor 2026 Prospect,RHP,NYM,814492
284,Henry Lalane,32,Monitor 2026 Prospect,LHP,NYY,700649
285,Yoniel Curet,32,Monitor 2026 Prospect,RHP,PHI,692414
286,Hunter Barco,32,Monitor 2026 Prospect,LHP,PIT,682995
287,Wilber Dotel,32,Monitor 2026 Prospect,RHP,PIT,696062
288,Hunter Dryden,32,Monitor 2026 Prospect,RHP,SFG,827500
289,Chen-Wei Lin,32,Monitor 2026 Prospect,RHP,STL,813820
290,Jackson Baumeister,32,Monitor 2026 Prospect,RHP,TBR,691765
291,T.J. Nichols,32,Monitor 2026 Prospect,RHP,TBR,694375
292,Gary Gill Hill,32,Monitor 2026 Prospect,RHP,TBR,804541
293,Eriq Swan,32,Monitor 2026 Prospect,RHP,WAS,811291
294,Martín Pérez,33,No Job And It’s Meh,LHP,ATL,527048
295,Carson Seymour,33,No Job And It’s Meh,RHP,SFG,693313
296,Bobby Miller,33,No Job And It’s Meh,RHP,LAD,676272
297,Emerson Hancock,33,No Job And It’s Meh,RHP,SEA,676106
298,Adam Mazur,33,No Job And It’s Meh,RHP,MIA,800049
299,Jack Kochanowicz,33,No Job And It’s Meh,RHP,LAA,686799
300,Caden Dana,33,No Job And It’s Meh,RHP,LAA,702674
301,Colin Rea,33,No Job And It’s Meh,RHP,CHC,607067
302,Javier Assad,33,No Job And It’s Meh,RHP,CHC,665871
303,Jonathan Cannon,33,No Job And It’s Meh,RHP,CHW,686563
304,Walker Buehler,33,No Job And It’s Meh,RHP,SDP,621111
305,Bradley Blalock,33,No Job And It’s Meh,RHP,MIA,687134
306,Eric Lauer,33,No Job And It’s Meh,LHP,TOR,641778
307,Caleb Kilian,33,No Job And It’s Meh,RHP,SFG,668873
308,Patrick Sandoval,33,No Job And It’s Meh,LHP,BOS,663776
309,Shinnosuke Ogasawara,33,No Job And It’s Meh,LHP,WAS,829272
310,Mitchell Parker,33,No Job And It’s Meh,LHP,WAS,680730
311,Jake Irvin,33,No Job And It’s Meh,RHP,WAS,663623
312,Keider Montero,33,No Job And It’s Meh,RHP,DET,672456
313,Roddery Muñoz,33,No Job And It’s Meh,RHP,HOU,682610
314,Bailey Falter,33,No Job And It’s Meh,LHP,KCR,663559
315,Daniel Lynch IV,33,No Job And It’s Meh,LHP,KCR,663738
316,Cal Quantrill,33,No Job And It’s Meh,LHP,TEX,615698
317,Dietrich Enns,33,No Job And It’s Meh,LHP,BAL,608650
318,Kyle Hart,33,No Job And It’s Meh,LHP,SDP,606996
319,Kyson Witherspoon,34,Stud Likely 2028 Prospect,RHP,BOS,804817
320,Braylon Doughty,34,Stud Likely 2028 Prospect,RHP,CLE,815785
321,Argenis Cayama,34,Stud Likely 2028 Prospect,RHP,SFG,821783
322,Zachary Root,34,Stud Likely 2028 Prospect,LHP,LAD,
323,Adam Serwinowski,34,Stud Likely 2028 Prospect,LHP,LAD,703445
324,Christian Zazueta,34,Stud Likely 2028 Prospect,RHP,LAD,800537
325,J.D. Thompson,34,Stud Likely 2028 Prospect,LHP,MIL,
326,Dasan Hill,34,Stud Likely 2028 Prospect,LHP,MIN,815598
327,Charlee Soto,34,Stud Likely 2028 Prospect,RHP,MIN,805792
328,Bryce Cunningham,34,Stud Likely 2028 Prospect,RHP,NYY,701480
329,Moises Chace,34,Stud Likely 2028 Prospect,RHP,PHI,691330
330,Antwone Kelly,34,Stud Likely 2028 Prospect,RHP,PIT,699008
331,Seth Hernandez,34,Stud Likely 2028 Prospect,RHP,PIT,815825
332,Bryan Balzer,34,Stud Likely 2028 Prospect,RHP,SDP,808893
333,Kash Mayfield,34,Stud Likely 2028 Prospect,LHP,SDP,824026
334,Kruz Schoolcraft,34,Stud Likely 2028 Prospect,LHP,SDP,
335,Kade Anderson,34,Stud Likely 2028 Prospect,LHP,SEA,807739
336,Tekoah Roby,34,Stud Likely 2028 Prospect,RHP,STL,694358
337,Liam Doyle,34,Stud Likely 2028 Prospect,LHP,STL,824604
338,Alejandro Rosario,34,Stud Likely 2028 Prospect,RHP,WAS,691730
339,Travis Sykora,34,Stud Likely 2028 Prospect,RHP,WAS,805809
340,Cam Caminiti,34,Stud Likely 2028 Prospect,LHP,ATL,807284
341,Jamie Arnold,34,Stud Likely 2028 Prospect,LHP,ATH,701364
342,McCade Brown,35,If Job Would Be For Rockies,RHP,COL,685326
343,Tanner Gordon,35,If Job Would Be For Rockies,RHP,COL,685299
344,Antonio Senzatela,35,If Job Would Be For Rockies,RHP,COL,622608
345,Ryan Feltner,35,If Job Would Be For Rockies,RHP,COL,663372
346,Gunnar Hoglund,36,Hurt But You Forgot,RHP,ATH,680684
