Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"José Berríos","TOR","ST",32,1,0,3.374998994171919,3,3,0,0,0,0,0,10.2,43,8,4,4,1,4,0,2,0,0,7,"Jose Berrios","14168",621244
"Tyler Glasnow","LAD","ST",32,1,0,4.218748742714899,3,3,0,0,0,0,0,10.2,40,6,5,5,1,2,0,0,0,0,15,"Tyler Glasnow","14374",607192
"Yunior Marte","CIN","ST",31,0,0,7.5,6,0,0,0,0,0,0,6,29,9,5,5,2,2,0,0,1,0,11,"Yunior Marte","14416",628708
"Anthony Banda","MIN","ST",32,1,0,6,6,0,0,0,0,0,1,6,26,3,4,4,1,4,0,1,0,0,8,"Anthony Banda","14706",607455
"Paul Blackburn","NYY","ST",32,0,1,1.4594598356349624,4,2,0,0,1,0,1,12.1,51,11,2,2,1,6,0,0,0,0,10,"Paul Blackburn","14739",621112
"Emilio Pagán","CIN","ST",35,0,0,9,6,0,0,0,0,1,1,6,31,8,7,6,3,2,0,1,0,0,6,"Emilio Pagan","14771",641941
"Michael Lorenzen","COL","ST",34,0,1,14.294109628279278,3,3,0,0,0,0,0,5.2,32,11,9,9,2,6,0,1,0,0,3,"Michael Lorenzen","14843",547179
"Sam Moll","CIN","ST",34,0,0,0,9,0,0,0,0,0,2,9,32,2,0,0,0,6,0,0,0,0,12,"Sam Moll","14874",594580
"Scott Barlow","ATH","ST",33,0,0,3.6,5,0,0,0,0,0,0,5,22,5,2,2,0,1,0,1,0,0,7,"Scott Barlow","14993",605130
"Germán Márquez","SDP","ST",31,1,2,9.257140334772291,4,4,0,0,0,0,0,11.2,54,13,12,12,2,5,0,2,0,0,15,"German Marquez","15038",608566
"Tim Mayza","PHI","ST",34,1,1,5.400002059937309,8,1,0,0,0,1,2,8.1,37,9,7,5,2,2,0,0,1,0,10,"Tim Mayza","15042",641835
"Lou Trivino","PHI","ST",34,0,1,6.75,7,0,0,0,0,0,0,8,38,10,7,6,0,5,0,0,2,0,9,"Lou Trivino","15043",642152
"Drew Anderson","DET","ST",32,2,0,0.7297299178174812,5,1,0,0,0,0,0,12.1,48,9,1,1,0,4,0,0,0,0,17,"Drew Anderson","15130",623454
"Cole Sulser","TBR","ST",36,0,1,2.5714285714285716,6,0,0,0,0,1,2,7,27,5,2,2,1,0,0,1,1,0,6,"Cole Sulser","15256",642121
"Nick Pivetta","SDP","ST",33,1,0,7.875,3,3,0,0,0,0,0,8,36,11,7,7,2,5,0,0,1,0,6,"Nick Pivetta","15454",601713
"Marco Gonzales","SDP","ST",34,0,2,13.965512648775611,4,2,0,0,0,0,1,9.2,57,21,16,15,1,7,0,2,0,0,9,"Marco Gonzales","15467",594835
"Antonio Senzatela","COL","ST",31,0,0,1.8,2,1,0,0,0,0,1,5,20,4,1,1,1,1,0,0,0,0,3,"Antonio Senzatela","15488",622608
"Tyler Rogers","TOR","ST",35,0,0,3.857142857142857,7,0,0,0,0,0,3,7,29,8,3,3,1,0,0,1,1,0,7,"Tyler Rogers","15541",643511
"Mark Leiter Jr.","ATH","ST",35,0,0,1.8,5,0,0,0,0,0,2,5,22,5,1,1,0,3,0,0,0,0,5,"Mark Leiter Jr.","15551",643410
"Luis Castillo","SEA","ST",33,0,2,10.8,4,4,0,0,0,0,0,10,51,19,13,12,5,3,0,0,0,0,8,"Luis Castillo","15689",622491
"Devin Williams","NYM","ST",31,0,0,1.8,5,0,0,0,0,0,1,5,20,3,1,1,1,2,0,0,0,0,6,"Devin Williams","15816",642207
"Zack Littell","WSN","ST",30,0,1,6.352937612568568,2,2,0,0,0,0,0,5.2,29,6,4,4,0,5,0,1,0,0,5,"Zack Littell","15823",641793
"Wander Suero","ATH","ST",34,1,0,2.1600008239749235,7,0,0,0,0,0,0,8.1,33,6,2,2,2,1,0,0,0,0,7,"Wander Suero","15855",593833
"Sean Manaea","NYM","ST",34,0,2,3.724136706340163,3,3,0,0,0,0,0,9.2,36,7,4,4,2,2,0,0,0,0,9,"Sean Manaea","15873",640455
"Ryne Stanek","STL","ST",34,0,0,1.8,5,0,0,0,0,1,1,5,17,3,1,1,0,1,0,0,1,0,6,"Ryne Stanek","15947",592773
"Cam Booser","TBR","ST",34,0,1,1.125,8,0,0,0,0,0,0,8,27,3,1,1,1,3,0,0,1,0,8,"Cam Booser","16061",592155
"John Curtiss","ARI","ST",33,0,0,4.5,6,0,0,0,1,0,1,6,24,5,3,3,1,2,0,0,0,0,2,"John Curtiss","16128",595928
"Brandon Woodruff","MIL","ST",33,2,0,5.4,2,2,0,0,0,0,0,5,24,6,3,3,2,2,0,1,0,0,7,"Brandon Woodruff","16162",605540
"Tejay Antone","CIN","ST",32,1,0,8.09999613762086,7,0,0,0,0,0,1,6.2,33,9,6,6,1,4,0,0,0,0,9,"Tejay Antone","16233",622088
