Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nacho Alvarez Jr.","ATL",2,7,6,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.236836,0.094976,0.214659,0.442451,0.32255,0.338861,0.296955,0.661411,0.102026,3.62701,0.29287,-0.000322759,-0.00155828,0.708359,-0.0881116,88.5382,-0.00188104,-0.0336331,-0.09345172834582627,0.03858911991119385,0.0173249,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Nacho Alvarez Jr.","31765",805373
"Shane McGuire","ATH",3,12,11,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.21152,0.106453,0.244034,0.436222,0.302491,0.301494,0.274582,0.603985,0.0899744,2.49507,0.275236,-0.000331915,-0.0267508,1.07138,-0.385018,70.8737,-0.0270827,-0.0467126,-0.4502169508486986,0.1940280981361866,0.0172059,999,,,,,,,3.2,1.066666666,3.2,1.066666666,,,,,,,,,,,,,,,,,,,"Shane McGuire","sa3017284",676063
"Shay Whitcomb","HOU",2,7,6,1,1,0,0,0,1,1,0,0,2,0,0,0,,0,0,0.223026,0.0639492,0.297142,0.215214,0.280137,0.401984,0.29563,0.682121,0.178959,4.09854,0.277799,-0.000146014,0.00865125,0.696612,-0.0947524,88.7677,0.00850523,-0.00899792,-0.08016050513833761,0.014921830035746098,0.0169168,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Shay Whitcomb","27789",694376
"Cavan Biggio","HOU",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.224513,0.111436,0.25113,0.443737,0.325313,0.340883,0.300371,0.666195,0.11637,3.90923,0.292443,-0.00053913,-0.00508961,0.722393,-0.0689715,92.0337,-0.00562874,-0.0269698,-0.06851357221603394,-0.003050033003091812,0.0162697,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Cavan Biggio","19252",624415
"Elias Díaz","KCR",3,12,11,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.21676,0.0685824,0.240218,0.285501,0.275094,0.329291,0.267444,0.604384,0.112531,2.20507,0.26842,-0.00234793,-0.0164491,1.00636,-0.45938,65.7591,-0.0187971,0.00752193,-0.5194214265793562,0.24980588909238577,0.0161105,999,,,,,,,3.2,1.066666666,3.2,1.066666666,,,,,,,,,,,,,,,,,,,"Elias Diaz","11680",553869
"LaMonte Wade Jr.","CHW",2,7,6,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.228023,0.127714,0.213128,0.599237,0.334743,0.36223,0.311774,0.696973,0.134207,3.11598,0.272307,-0.00312,-0.00834888,0.789458,-0.00701224,99.0559,-0.0114689,0.0130795,-0.018969378899782896,-0.05914268456399441,0.0157519,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"LaMonte Wade Jr.","18126",664774
"Maximo Acosta","MIA",6,27,25,6,4,1,0,1,3,2,2,0,7,0,0,0,,1,0,0.229063,0.0661245,0.241329,0.274002,0.285722,0.347241,0.278867,0.632963,0.118178,5.46103,0.287005,0.000509388,0.0351633,2.43746,-0.748424,75.277,0.0356727,-0.132995,-0.7543938010931015,0.011449262499809265,0.0157395,999,,,,,,,28.8,4.8,28.8,4.8,,,,,,,,,,,,,,,,,,,"Maximo Acosta","27963",691185
"Ben Rortvedt","NYM",2,6,5,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.210004,0.0923785,0.257942,0.358136,0.292646,0.318371,0.274703,0.611017,0.108368,2.56767,0.271218,-0.000535758,-0.00805021,0.536299,-0.191903,77.0668,-0.00858597,0.00124567,-0.17609916348010302,0.12161604384891689,0.0153976,999,,,,,,,3.6,1.8,3.6,1.8,,,,,,,,,,,,,,,,,,,"Ben Rortvedt","20287",666163
"César Salazar","HOU",2,6,5,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.210041,0.0837441,0.210728,0.397403,0.300458,0.318152,0.279839,0.61861,0.108111,2.99582,0.251923,-0.000191573,-0.00681703,0.558397,-0.165137,77.8901,-0.00700861,-0.0163127,-0.1665807170793414,0.10328607447445393,0.0150936,999,,,,,,,3.6,1.8,3.6,1.8,,,,,,,,,,,,,,,,,,,"Cesar Salazar","21587",663967
"Matt Thaiss","BOS",2,6,5,1,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.228372,0.115071,0.241837,0.475822,0.324551,0.349034,0.301886,0.673585,0.120663,4.11393,0.291601,-0.000981573,-0.00341646,0.672315,-0.0558864,88.3058,-0.00439803,-0.0959166,-0.08934204000979662,0.02445373684167862,0.0150697,999,,,,,,,3.6,1.8,3.6,1.8,,,,,,,,,,,,,,,,,,,"Matt Thaiss","19318",642136
